TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612744,Moses Moody,1630541,GSW,SG,Wing,58,1481,3169,695,194,94,54,32,54,0.527,0.405,49,145,358,77,0.147,0.753,90,0.171,0.333,0.682,0.405,4.8,17.9,2.4,23.7,0.208,3.6,10.8,9.1,1.8,2,8.6
1610612737,Mouhamed Gueye,1631243,ATL,PF,Big,59,935,1995,272,217,55,50,30,30,0.566,0.277,72,145,101,86,0.363,0.733,50,0.211,0.28,0.426,0.277,-3.7,13,0.8,17.2,0.232,8.2,16.8,7.5,2.5,2.9,10.3
1610612742,Moussa Cisse,1630619,DAL,C,Big,33,396,860,121,158,7,11,34,25,0.59,0,65,93,0,70,0.897,0.629,8,0.103,0.25,0,0,0.7,13.9,0,0,0.846,17.7,24.3,2.3,1.3,7.1,18.9
1610612766,Moussa Diabaté,1631217,CHA,C,Big,53,1351,2746,447,460,92,38,52,49,0.648,0.5,194,266,2,201,0.739,0.721,69,0.254,0.435,0.007,0.5,11,11.9,1.2,17.3,0.522,16.6,21.7,9.5,1.4,3.5,12.8
1610612749,Myles Turner,1626167,MIL,C,Big,55,1541,3218,694,308,84,39,90,65,0.523,0.389,65,243,306,102,0.194,0.647,118,0.224,0.415,0.582,0.389,3.1,18.7,2.1,23.8,0.272,4.8,17.5,7.7,1.2,5.8,9.9
1610612748,Myron Gardner,1642066,MIA,SF,Wing,29,270,606,117,84,30,14,5,7,0.561,0.404,28,56,47,30,0.341,0.633,11,0.125,0.364,0.534,0.404,4.9,15.5,3.2,23,0.216,10.5,21.2,14.8,2.4,1.7,6.8
1610612737,N'Faly Dante,1642368,ATL,C,Big,4,15,33,3,7,0,2,0,1,NA,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,-22,15.1,NA,NA,0.25,21.2,28.9,0,6.3,0,18.4
1610612739,Nae'Qwan Tomlin,1641772,CLE,PF,Forward,50,804,1698,298,147,42,36,29,19,0.604,0.215,68,79,93,134,0.521,0.664,30,0.117,0.333,0.362,0.215,-2.6,15.5,1.2,20.3,0.206,9.2,10.8,7,2.1,3.4,6.3
1610612742,Naji Marshall,1630230,DAL,SF,Wing,58,1728,3758,891,285,178,61,6,85,0.617,0.295,50,235,166,174,0.281,0.701,280,0.452,0.564,0.268,0.295,5.5,19.7,3.6,27.7,0.39,3.1,14,15.1,1.7,0.3,10.5
1610612744,Nate Williams,1631466,GSW,SG,Wing,1,15,29,7,1,2,0,0,2,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14.2,19.7,NA,NA,0,0,7.4,20.3,0,0,28.6
1610612750,Naz Reid,1629675,MIN,C,Big,60,1577,3382,844,382,147,62,58,97,0.575,0.385,68,314,369,114,0.168,0.719,194,0.287,0.49,0.545,0.385,3.1,21.7,4.1,30.3,0.131,4.8,21.5,13.5,1.9,3.2,11.9
1610612738,Neemias Queta,1629674,BOS,C,Big,57,1421,2834,575,476,86,50,76,62,0.656,0,175,301,6,251,0.669,0.741,118,0.315,0.475,0.016,0,10.6,15.1,1.5,20.8,0.352,13.7,22.9,8.5,1.8,5.4,12.5
1610612751,Nic Claxton,1629651,BKN,C,Big,54,1574,3205,681,388,217,40,63,74,0.605,0.188,136,252,16,282,0.597,0.706,174,0.369,0.443,0.034,0.188,5.1,17.5,2.7,26.7,0.417,9.6,19.6,22.7,1.3,3.7,11.7
1610612741,Nick Richards,1630208,CHI,C,Big,37,449,943,172,153,10,8,24,42,0.513,0.286,55,98,7,75,0.595,0.573,44,0.349,0.409,0.056,0.286,0.3,18.3,1.1,22.3,0.492,13.1,24.1,3.1,0.9,4.9,21.5
